S.N., time                   , place                                     , magnitude, longitude, latitude, depth
 176, 2018-02-28 10:35:16.460, "187 km NW of Rikaze, China"              ,      4.0 ,   87.3792,  30.3194, 10.0
 177, 2018-02-08 20:56:30.090, "162 km NW of Rikaze, China"              ,      4.2 ,   87.8193,  30.3854, 10.0
 178, 2017-12-08 02:51:18.860, "28 km SE of Kod?ri??, Nepal"             ,      5.0 ,   86.1471,  27.7618, 10.0
 179, 2017-12-02 23:43:44.930, "17 km W of Gyalshing, India"             ,      4.2 ,   88.0806,  27.2856, 10.0
 180, 2017-11-07 19:06:41.830, "179 km NW of Rikaze, China"              ,      4.6 ,   87.4355,  30.2645,  9.83
 181, 2017-11-06 03:09:03.590, "51 km NE of Dipayal, Nepal"              ,      4.6 ,   81.2918,  29.6127, 10.0
 182, 2017-10-06 17:44:22.220, "167 km ENE of Saga, China"               ,      4.4 ,   86.7671,  30.0189, 10.0
 183, 2017-08-22 00:50:35.830, "25 km ENE of Dipayal, Nepal"             ,      4.6 ,   81.1558,  29.3871, 10.0
 184, 2017-08-21 12:03:13.970, "44 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.1237,  27.5881, 10.0
 185, 2017-07-15 16:35:28.630, "6 km W of Dailekh, Nepal"                ,      4.3 ,   81.6418,  28.8507, 27.7
 186, 2017-07-02 01:58:27.200, "59 km NNE of Janakpur, Nepal"            ,      4.8 ,   86.1159,  27.2384, 10.0
 187, 2017-05-16 22:13:19.060, "9 km WNW of Gyalshing, India"            ,      4.2 ,   88.1714,  27.3266, 10.0
 188, 2017-04-27 02:10:11.800, "76 km E of Saga, China"                  ,      4.4 ,   86.0168,  29.2836,  8.0
 189, 2017-04-24 15:04:30.130, "58 km NE of Dipayal, Nepal"              ,      4.3 ,   81.3034,  29.6836, 18.73
 190, 2017-02-27 04:21:41.730, "47 km ESE of Panauti, Nepal"             ,      4.6 ,   85.9319,  27.3706, 20.28
 191, 2017-02-27 03:37:45.990, "57 km ESE of Dhulikhel, Nepal"           ,      4.7 ,   86.0789,  27.4259, 11.23
 192, 2017-02-26 18:48:45.660, "164 km NE of Jumla, Nepal"               ,      4.7 ,   83.5019,  30.2107, 10.0
 193, 2016-12-01 16:52:50.110, "18 km NE of Dh?rchula, India"            ,      5.2 ,   80.6321,  29.979 , 31.96
 194, 2016-11-27 23:35:21.020, "17 km W of Namche Bazar, Nepal"          ,      5.4 ,   86.5319,  27.8015, 10.0
 195, 2016-10-07 04:52:38.250, "43 km N of Kod?ri??, Nepal"              ,      4.0 ,   85.9666,  28.35  , 10.0
 196, 2016-09-18 17:14:17.810, "12 km NNW of Nagarkot, Nepal"            ,      4.2 ,   85.4746,  27.8196, 25.2
 197, 2016-09-10 00:46:18.380, "114 km NNE of Jumla, Nepal"              ,      4.9 ,   82.6753,  30.2163, 35.0
 198, 2016-09-09 09:10:51.180, "136 km NNE of Jumla, Nepal"              ,      4.3 ,   82.8488,  30.3571, 35.0
 199, 2016-07-02 00:23:46.380, "31 km NNE of Dipayal, Nepal"             ,      4.4 ,   81.0984,  29.5139, 10.0
 200, 2016-06-29 09:10:28.860, "37 km NNE of Dipayal, Nepal"             ,      4.6 ,   81.1306,  29.5553,  9.03
 201, 2016-06-27 14:53:00.680, "110 km NE of Lobujya, Nepal"             ,      4.7 ,   87.4704,  28.7638, 10.0
 202, 2016-06-21 05:49:46.420, "33 km W of Kirtipur, Nepal"              ,      3.5 ,   84.9384,  27.7243, 10.0
